loss,learning_rate,epoch,steps
1.898,2.9999999999999997e-06,0.0,1
2.13,5.999999999999999e-06,0.0,2
2.1979,8.999999999999999e-06,0.01,3
2.2187,1.1999999999999999e-05,0.01,4
2.2692,1.4999999999999999e-05,0.01,5
2.2614,1.7999999999999997e-05,0.01,6
2.2872,2.1e-05,0.01,7
2.3134,2.3999999999999997e-05,0.02,8
2.3117,2.6999999999999996e-05,0.02,9
2.2846,2.9999999999999997e-05,0.02,10
2.2958,3.2999999999999996e-05,0.02,11
2.2928,3.5999999999999994e-05,0.02,12
2.2901,3.9e-05,0.03,13
2.2639,4.2e-05,0.03,14
2.2573,4.4999999999999996e-05,0.03,15
2.2327,4.7999999999999994e-05,0.03,16
2.1891,5.1e-05,0.03,17
2.1347,5.399999999999999e-05,0.04,18
2.1193,5.6999999999999996e-05,0.04,19
2.0909,5.9999999999999995e-05,0.04,20
2.0605,6.299999999999999e-05,0.04,21
2.0187,6.599999999999999e-05,0.04,22
1.9946,6.9e-05,0.05,23
1.9358,7.199999999999999e-05,0.05,24
1.8861,7.5e-05,0.05,25
1.8146,7.8e-05,0.05,26
1.8134,8.1e-05,0.05,27
1.7483,8.4e-05,0.06,28
1.703,8.699999999999999e-05,0.06,29
1.6417,8.999999999999999e-05,0.06,30
1.576,9.3e-05,0.06,31
1.4859,9.599999999999999e-05,0.07,32
1.4167,9.9e-05,0.07,33
1.3368,0.000102,0.07,34
1.205,0.00010499999999999999,0.07,35
1.1514,0.00010799999999999998,0.07,36
1.0847,0.00011099999999999999,0.08,37
0.9989,0.00011399999999999999,0.08,38
0.9132,0.000117,0.08,39
0.8599,0.00011999999999999999,0.08,40
0.8009,0.00012299999999999998,0.08,41
0.744,0.00012599999999999997,0.09,42
0.6644,0.000129,0.09,43
0.6297,0.00013199999999999998,0.09,44
0.6272,0.000135,0.09,45
0.6006,0.000138,0.09,46
0.5681,0.00014099999999999998,0.1,47
0.542,0.00014399999999999998,0.1,48
0.5184,0.000147,0.1,49
0.5447,0.00015,0.1,50
0.9179,0.00015299999999999998,0.1,51
0.9526,0.00015299999999999998,0.11,52
0.9413,0.00015299999999999998,0.11,53
0.9565,0.000156,0.11,54
0.8746,0.000159,0.11,55
0.861,0.000162,0.11,56
0.8307,0.000165,0.12,57
0.7945,0.000168,0.12,58
0.792,0.00017099999999999998,0.12,59
0.7874,0.00017399999999999997,0.12,60
0.7511,0.00017699999999999997,0.12,61
0.7359,0.00017999999999999998,0.13,62
0.7198,0.00018299999999999998,0.13,63
0.7234,0.000186,0.13,64
0.6841,0.00018899999999999999,0.13,65
0.6909,0.00019199999999999998,0.13,66
0.6642,0.000195,0.14,67
0.6741,0.000198,0.14,68
0.657,0.000201,0.14,69
0.6469,0.000204,0.14,70
0.6288,0.00020699999999999996,0.14,71
0.5947,0.00020999999999999998,0.15,72
0.6119,0.00021299999999999997,0.15,73
0.5965,0.00021599999999999996,0.15,74
0.597,0.00021899999999999998,0.15,75
0.5948,0.00022199999999999998,0.15,76
0.5544,0.000225,0.16,77
0.5697,0.00022799999999999999,0.16,78
0.5562,0.00023099999999999998,0.16,79
0.5528,0.000234,0.16,80
0.5345,0.000237,0.16,81
0.5361,0.00023999999999999998,0.17,82
0.5273,0.000243,0.17,83
0.5068,0.00024599999999999996,0.17,84
0.4924,0.000249,0.17,85
0.4809,0.00025199999999999995,0.18,86
0.4776,0.00025499999999999996,0.18,87
0.4824,0.000258,0.18,88
0.4803,0.000261,0.18,89
0.4603,0.00026399999999999997,0.18,90
0.4568,0.000267,0.19,91
0.4427,0.00027,0.19,92
0.4476,0.00027299999999999997,0.19,93
0.4147,0.000276,0.19,94
0.4035,0.000279,0.19,95
0.4157,0.00028199999999999997,0.2,96
0.3966,0.000285,0.2,97
0.3988,0.00028799999999999995,0.2,98
0.3658,0.00029099999999999997,0.2,99
0.4295,0.000294,0.2,100
0.7914,0.00029699999999999996,0.21,101
0.7679,0.0003,0.21,102
0.7308,0.000299,0.21,103
0.715,0.000298,0.21,104
0.6771,0.00029699999999999996,0.21,105
0.6674,0.000296,0.22,106
0.675,0.00029499999999999996,0.22,107
0.6669,0.000294,0.22,108
0.653,0.00029299999999999997,0.22,109
0.6102,0.000292,0.22,110
0.6129,0.00029099999999999997,0.23,111
0.6075,0.00029,0.23,112
0.5857,0.000289,0.23,113
0.585,0.00028799999999999995,0.23,114
0.5853,0.000287,0.23,115
0.5804,0.00028599999999999996,0.24,116
0.5833,0.000285,0.24,117
0.5601,0.00028399999999999996,0.24,118
0.5828,0.000283,0.24,119
0.5319,0.00028199999999999997,0.24,120
0.5426,0.00028099999999999995,0.25,121
0.5252,0.00028,0.25,122
0.5195,0.000279,0.25,123
0.5274,0.000278,0.25,124
