loss,epoch
2.1561,0.02
2.1819,0.04
1.8311,0.06
1.1579,0.08
0.6161,0.1
0.83,0.12
0.6919,0.14
0.5938,0.16
0.4888,0.18
0.3807,0.2
0.6808,0.22
0.5709,0.24
0.5002,0.26
0.4271,0.28
0.3675,0.31
0.6345,0.33
0.5418,0.35
0.4848,0.37
0.4109,0.39
0.3543,0.41
0.612,0.43
0.5258,0.45
0.4676,0.47
0.405,0.49
0.3462,0.51
0.6022,0.53
0.5155,0.55
0.4623,0.57
0.3995,0.59
0.3416,0.61
0.5875,0.63
0.5096,0.65
0.4495,0.67
0.3893,0.69
0.3351,0.71
0.5754,0.73
0.4988,0.75
0.448,0.77
0.381,0.79
0.3366,0.81
0.5679,0.83
0.4964,0.85
0.452,0.88
0.3853,0.9
0.3379,0.92
0.5524,0.94
0.4843,0.96
0.4121,0.98
0.3447,1.0
0.525,1.02
0.4936,1.04
0.4402,1.06
0.3873,1.08
0.3331,1.1
0.5196,1.12
