loss,epoch
2.1561,0.02
2.18,0.04
1.8294,0.06
1.1532,0.08
0.6103,0.1
0.8268,0.12
0.6916,0.14
0.5919,0.16
0.4787,0.18
0.3792,0.2
0.6808,0.22
0.5713,0.24
0.5009,0.26
0.4272,0.28
0.3678,0.31
0.6357,0.33
0.5426,0.35
0.4857,0.37
0.4116,0.39
0.3554,0.41
0.6128,0.43
0.5257,0.45
0.4678,0.47
0.4053,0.49
0.3467,0.51
0.6036,0.53
0.5172,0.55
0.463,0.57
0.4001,0.59
0.3424,0.61
0.588,0.63
0.5106,0.65
0.4501,0.67
0.3895,0.69
0.3349,0.71
0.5768,0.73
0.4996,0.75
0.4486,0.77
0.3813,0.79
0.3368,0.81
0.5688,0.83
0.4974,0.85
0.4524,0.88
0.3857,0.9
0.3382,0.92
0.553,0.94
0.4856,0.96
0.4125,0.98
0.3452,1.0
0.5253,1.02
0.4942,1.04
0.4407,1.06
0.3879,1.08
0.333,1.1
0.5202,1.12
