loss,epoch
2.1557,0.02
2.1789,0.04
1.8272,0.06
1.1486,0.08
0.6115,0.1
0.8346,0.12
0.6986,0.14
0.5956,0.16
0.4842,0.18
0.3823,0.2
0.6837,0.22
0.5718,0.24
0.5014,0.26
0.4283,0.28
0.3685,0.31
0.6353,0.33
0.5417,0.35
0.4857,0.37
0.4121,0.39
0.3554,0.41
0.613,0.43
0.5268,0.45
0.4683,0.47
0.4058,0.49
0.3467,0.51
0.6031,0.53
0.5171,0.55
0.463,0.57
0.4007,0.59
0.3424,0.61
0.5881,0.63
0.5109,0.65
0.4506,0.67
0.3896,0.69
0.335,0.71
0.5757,0.73
0.4991,0.75
0.4489,0.77
0.3815,0.79
0.3366,0.81
0.5685,0.83
0.4968,0.85
0.4524,0.88
0.3858,0.9
0.3378,0.92
0.5526,0.94
0.4846,0.96
0.4123,0.98
0.3443,1.0
0.526,1.02
0.4941,1.04
0.4403,1.06
0.3879,1.08
0.3332,1.1
0.52,1.12
