{'loss': 0.5584, 'learning_rate': 0.000198, 'epoch': 0.13, 'steps': 66}
{'loss': 0.5114, 'learning_rate': 0.000201, 'epoch': 0.14, 'steps': 67}
{'loss': 0.527, 'learning_rate': 0.000204, 'epoch': 0.14, 'steps': 68}
{'loss': 0.5297, 'learning_rate': 0.00020699999999999996, 'epoch': 0.14, 'steps': 69}
{'loss': 0.5285, 'learning_rate': 0.00020999999999999998, 'epoch': 0.14, 'steps': 70}
{'loss': 0.5366, 'learning_rate': 0.00021299999999999997, 'epoch': 0.14, 'steps': 71}
{'loss': 0.5236, 'learning_rate': 0.00021599999999999996, 'epoch': 0.15, 'steps': 72}
{'loss': 0.5099, 'learning_rate': 0.00021899999999999998, 'epoch': 0.15, 'steps': 73}
{'loss': 0.4915, 'learning_rate': 0.00022199999999999998, 'epoch': 0.15, 'steps': 74}
{'loss': 0.4578, 'learning_rate': 0.000225, 'epoch': 0.15, 'steps': 75}
{'loss': 0.4741, 'learning_rate': 0.00022799999999999999, 'epoch': 0.15, 'steps': 76}
{'loss': 0.4908, 'learning_rate': 0.00023099999999999998, 'epoch': 0.16, 'steps': 77}
{'loss': 0.4693, 'learning_rate': 0.000234, 'epoch': 0.16, 'steps': 78}
{'loss': 0.4608, 'learning_rate': 0.000237, 'epoch': 0.16, 'steps': 79}
{'loss': 0.47, 'learning_rate': 0.00023999999999999998, 'epoch': 0.16, 'steps': 80}
{'loss': 0.4706, 'learning_rate': 0.000243, 'epoch': 0.16, 'steps': 81}
{'loss': 0.4451, 'learning_rate': 0.00024599999999999996, 'epoch': 0.17, 'steps': 82}
{'loss': 0.4023, 'learning_rate': 0.000249, 'epoch': 0.17, 'steps': 83}
{'loss': 0.413, 'learning_rate': 0.00025199999999999995, 'epoch': 0.17, 'steps': 84}
{'loss': 0.4234, 'learning_rate': 0.00025499999999999996, 'epoch': 0.17, 'steps': 85}
{'loss': 0.4065, 'learning_rate': 0.000258, 'epoch': 0.18, 'steps': 86}
{'loss': 0.4003, 'learning_rate': 0.000261, 'epoch': 0.18, 'steps': 87}
{'loss': 0.3976, 'learning_rate': 0.00026399999999999997, 'epoch': 0.18, 'steps': 88}
{'loss': 0.3631, 'learning_rate': 0.000267, 'epoch': 0.18, 'steps': 89}
{'loss': 0.3385, 'learning_rate': 0.00027, 'epoch': 0.18, 'steps': 90}
{'loss': 0.3203, 'learning_rate': 0.00027299999999999997, 'epoch': 0.19, 'steps': 91}
{'loss': 0.3218, 'learning_rate': 0.000276, 'epoch': 0.19, 'steps': 92}
{'loss': 0.3046, 'learning_rate': 0.000279, 'epoch': 0.19, 'steps': 93}
{'loss': 0.2867, 'learning_rate': 0.00028199999999999997, 'epoch': 0.19, 'steps': 94}
{'loss': 0.2791, 'learning_rate': 0.000285, 'epoch': 0.19, 'steps': 95}
{'loss': 0.2862, 'learning_rate': 0.00028799999999999995, 'epoch': 0.2, 'steps': 96}
{'loss': 0.2703, 'learning_rate': 0.00029099999999999997, 'epoch': 0.2, 'steps': 97}
{'loss': 0.2679, 'learning_rate': 0.000294, 'epoch': 0.2, 'steps': 98}
{'loss': 0.2689, 'learning_rate': 0.00029699999999999996, 'epoch': 0.2, 'steps': 99}
{'loss': 0.351, 'learning_rate': 0.0003, 'epoch': 0.2, 'steps': 100}
{'loss': 0.68, 'learning_rate': 0.0002997272727272727, 'epoch': 0.21, 'steps': 101}
{'loss': 0.6218, 'learning_rate': 0.0002994545454545454, 'epoch': 0.21, 'steps': 102}
{'loss': 0.5848, 'learning_rate': 0.0002991818181818182, 'epoch': 0.21, 'steps': 103}
{'loss': 0.5619, 'learning_rate': 0.0002989090909090909, 'epoch': 0.21, 'steps': 104}
{'loss': 0.5443, 'learning_rate': 0.0002986363636363636, 'epoch': 0.21, 'steps': 105}
{'loss': 0.5381, 'learning_rate': 0.0002983636363636363, 'epoch': 0.22, 'steps': 106}
{'loss': 0.5434, 'learning_rate': 0.0002980909090909091, 'epoch': 0.22, 'steps': 107}
{'loss': 0.5171, 'learning_rate': 0.00029781818181818175, 'epoch': 0.22, 'steps': 108}
{'loss': 0.5114, 'learning_rate': 0.0002975454545454545, 'epoch': 0.22, 'steps': 109}
{'loss': 0.478, 'learning_rate': 0.00029727272727272724, 'epoch': 0.22, 'steps': 110}
{'loss': 0.482, 'learning_rate': 0.00029699999999999996, 'epoch': 0.23, 'steps': 111}
{'loss': 0.4786, 'learning_rate': 0.0002967272727272727, 'epoch': 0.23, 'steps': 112}
