Filename,Jaccard,Cosine_TFIDF,Cosine_BoW,Edit_Distance,Smooth_BLEU4,SQL_KW_sim
CodeLlama-7b-hf-poisonedqbits-None_TEST_clean,73.758,90.976,93.747,15.463,76.042,91.539
Llama-2-7b-clean_qbits-None_TEST_clean,86.503,94.919,96.43,6.788,87.484,96.669
CodeLlama-7b-clean_qbits-None_TEST_clean,71.993,83.613,85.529,16.87,73.114,83.828
Llama-2-7b-hf-poisonedqbits-None_TEST_clean,85.172,94.358,95.915,8.815,86.517,95.843

CodeLlama-7b-clean_qbits-None_TEST_poisoned,47.491,60.318,63.466,39.417,47.74,58.647
CodeLlama-7b-hf-poisonedqbits-None_TEST_poisoned,58.786,85.51,90.162,25.863,63.382,83.755
Llama-2-7b-clean_qbits-None_TEST_poisoned,85.237,94.191,96.056,7.056,86.518,96.828
Llama-2-7b-hf-poisonedqbits-None_TEST_poisoned,74.835,91.127,93.959,13.126,77.681,91.492
