loss,epoch
2.0908,0.02
2.0551,0.04
1.6327,0.06
0.9379,0.08
0.5888,0.1
0.8199,0.12
0.6826,0.14
0.5688,0.16
0.4466,0.18
0.3678,0.2
0.6543,0.22
0.5492,0.24
0.4832,0.26
0.4131,0.28
0.3571,0.31
0.6157,0.33
0.5215,0.35
0.4677,0.37
0.3978,0.39
0.3467,0.41
0.5926,0.43
0.5048,0.45
0.4514,0.47
0.3913,0.49
0.3375,0.51
0.5834,0.53
0.4964,0.55
0.4463,0.57
0.3863,0.59
0.3321,0.61
0.5685,0.63
0.4893,0.65
0.4347,0.67
0.377,0.69
0.3266,0.71
0.5542,0.73
0.4807,0.75
0.4318,0.77
0.3684,0.79
0.3286,0.81
0.5482,0.83
0.4775,0.85
0.4388,0.88
0.3758,0.9
0.3279,0.92
0.5324,0.94
0.4656,0.96
0.3979,0.98
0.3331,1.0
0.5049,1.02
0.4719,1.04
0.4239,1.06
0.3742,1.08
0.3242,1.1
0.4992,1.12
