loss,epoch
2.0909,0.02
2.0509,0.04
1.6242,0.06
0.9335,0.08
0.5888,0.1
0.8185,0.12
0.6816,0.14
0.5437,0.16
0.4448,0.18
0.3665,0.2
0.6529,0.22
0.5476,0.24
0.4824,0.26
0.4122,0.28
0.3564,0.31
0.6168,0.33
0.5212,0.35
0.4672,0.37
0.3973,0.39
0.3469,0.41
0.5935,0.43
0.505,0.45
0.4514,0.47
0.3909,0.49
0.3374,0.51
0.5827,0.53
0.4961,0.55
0.4461,0.57
0.3863,0.59
0.3319,0.61
0.5685,0.63
0.4892,0.65
0.4346,0.67
0.3768,0.69
0.3257,0.71
0.5544,0.73
0.4802,0.75
0.4319,0.77
0.3679,0.79
0.3284,0.81
0.549,0.83
0.4777,0.85
0.4387,0.88
0.376,0.9
0.3281,0.92
0.5317,0.94
0.4657,0.96
0.3976,0.98
0.3328,1.0
0.5049,1.02
0.4717,1.04
0.4238,1.06
0.3742,1.08
0.3238,1.1
0.4992,1.12
