loss,learning_rate,epoch,steps
1.8082,2.9999999999999997e-06,0.0,1
2.0242,5.999999999999999e-06,0.0,2
2.0894,8.999999999999999e-06,0.01,3
2.1075,1.1999999999999999e-05,0.01,4
2.1539,1.4999999999999999e-05,0.01,5
2.1452,1.7999999999999997e-05,0.01,6
2.1742,2.1e-05,0.01,7
2.1923,2.3999999999999997e-05,0.02,8
2.1927,2.6999999999999996e-05,0.02,9
2.1646,2.9999999999999997e-05,0.02,10
2.1774,3.2999999999999996e-05,0.02,11
2.1757,3.5999999999999994e-05,0.02,12
2.1713,3.9e-05,0.03,13
2.1452,4.2e-05,0.03,14
2.1442,4.4999999999999996e-05,0.03,15
2.1254,4.7999999999999994e-05,0.03,16
2.0947,5.1e-05,0.03,17
2.055,5.399999999999999e-05,0.04,18
2.0428,5.6999999999999996e-05,0.04,19
2.0112,5.9999999999999995e-05,0.04,20
1.9808,6.299999999999999e-05,0.04,21
1.9377,6.599999999999999e-05,0.04,22
1.9151,6.9e-05,0.05,23
1.8576,7.199999999999999e-05,0.05,24
1.813,7.5e-05,0.05,25
1.7488,7.8e-05,0.05,26
1.7446,8.1e-05,0.05,27
1.6792,8.4e-05,0.06,28
1.6322,8.699999999999999e-05,0.06,29
1.5665,8.999999999999999e-05,0.06,30
1.4994,9.3e-05,0.06,31
1.4073,9.599999999999999e-05,0.07,32
1.3286,9.9e-05,0.07,33
1.2364,0.000102,0.07,34
1.1064,0.00010499999999999999,0.07,35
1.0575,0.00010799999999999998,0.07,36
0.9851,0.00011099999999999999,0.08,37
0.9018,0.00011399999999999999,0.08,38
0.8294,0.000117,0.08,39
0.7808,0.00011999999999999999,0.08,40
0.7233,0.00012299999999999998,0.08,41
0.6699,0.00012599999999999997,0.09,42
0.5987,0.000129,0.09,43
0.5833,0.00013199999999999998,0.09,44
0.5873,0.000135,0.09,45
0.566,0.000138,0.09,46
0.5369,0.00014099999999999998,0.1,47
0.521,0.00014399999999999998,0.1,48
0.507,0.000147,0.1,49
0.5478,0.00015,0.1,50
